BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
62,5600,6,0.537457
62,5800,1,0.723245
62,5800,2,0.567937
62,5800,3,0.560655
62,5800,4,0.663542
62,5800,5,0.347830
62,5800,6,0.604428
62,6000,1,0.598968
62,6000,2,0.734539
62,6000,3,0.285045
62,6000,4,0.603033
62,6000,5,0.243685
62,6000,6,0.121283
62,6200,1,0.217502
62,6200,2,0.207304
62,6200,3,0.547078
62,6200,4,0.163160
62,6200,5,0.553927
62,6200,6,0.184633
62,6400,1,0.372550
62,6400,2,0.566145
62,6400,3,0.573271
62,6400,4,0.558257
62,6400,5,0.525169
62,6400,6,0.235865
62,6600,1,0.646228
62,6600,2,0.419461
62,6600,3,0.558616
62,6600,4,0.615301
62,6600,5,0.505170
62,6600,6,0.539233
62,6800,1,0.310917
62,6800,2,0.147440
62,6800,3,0.554977
62,6800,4,0.302151
62,6800,5,0.539230
62,6800,6,0.723079
62,7000,1,0.293339
62,7000,2,0.254238
62,7000,3,0.340560
62,7000,4,0.289991
62,7000,5,0.134845
62,7000,6,0.458082
62,7200,1,0.313800
62,7200,2,0.271870
62,7200,3,0.212812
62,7200,4,0.446352
62,7200,5,0.371887
62,7200,6,0.668483
62,7400,1,0.457121
62,7400,2,0.300125
62,7400,3,0.246604
62,7400,4,0.272103
62,7400,5,0.388496
62,7400,6,0.433667
62,7600,1,0.158269
62,7600,2,0.471889
62,7600,3,0.160019
62,7600,4,0.245966
62,7600,5,0.267421
62,7600,6,0.429672
62,7800,1,0.558425
62,7800,2,0.236362
62,7800,3,0.574003
62,7800,4,0.435853
62,7800,5,0.379085
62,7800,6,0.321168
62,8000,1,0.444798
62,8000,2,0.272304
62,8000,3,0.335696
62,8000,4,0.203976
62,8000,5,0.412303
62,8000,6,0.295038
62,8200,1,0.356217
62,8200,2,0.410869
62,8200,3,0.192500
62,8200,4,0.128552
62,8200,5,0.295561
62,8200,6,0.689127
62,8400,1,0.106494
62,8400,2,0.290685
62,8400,3,0.472488
62,8400,4,0.451447
62,8400,5,0.383791
62,8400,6,0.564600
62,8600,1,0.305422
62,8600,2,0.264214
62,8600,3,0.215096
62,8600,4,0.224760
62,8600,5,0.529925
62,8600,6,0.371200
62,8800,1,0.673028
62,8800,2,0.513189
62,8800,3,0.400739
62,8800,4,0.388277
62,8800,5,0.138461
62,8800,6,0.486122
62,9000,1,0.483110
62,9000,2,0.414624
62,9000,3,0.340599
62,9000,4,0.557763
62,9000,5,0.524179
62,9000,6,0.600117
62,9200,1,0.437063
62,9200,2,0.284419
62,9200,3,0.772773
62,9200,4,0.506480
62,9200,5,0.520505
62,9200,6,0.619539
62,9400,1,0.308884
62,9400,2,0.581872
62,9400,3,0.498660
62,9400,4,0.516426
62,9400,5,0.750910
62,9400,6,0.228693
62,9600,1,0.378222
62,9600,2,0.520265
62,9600,3,0.321419
62,9600,4,0.756512
62,9600,5,0.480688
62,9600,6,0.306668
